content,theme,sentiment,anls
差的原因是没看到赠品，卖家如果没有就不要写上做虚假宣传,NULL;NULL;,差;虚假;,-1;-1;
试用过了，很满意，外观设计很漂亮，人操作起来很方便的，价格也实惠，挺满意的！,NULL;NULL;价格;NULL;,满意;方便;实惠;满意;,1;1;1;1;
(⊙o⊙)哇，上手感觉非常棒！,感觉;,棒;,1;
味道比较难闻，而且油性皮肤，敏感皮肤最好别用，没什么效果,味道;NULL;皮肤;,难闻;敏感;最好;,-1;1;1;
发货真的好快 味道是很熟悉的那种 但是不算高档不算亲和的味道 滋润不错 持香也不错,发货;NULL;NULL;NULL;NULL;NULL;NULL;,好;快;不算高档;不算亲和;滋润;不错;不错;,1;1;-1;-1;1;1;1;
满意，一直在用此产品，无刺激,NULL;,满意;,1;
东西不好不好不好,,,
不错，是我想要的，快递小哥服务一级的棒，,NULL;服务;,不错;棒;,1;1;
不错 挺好的,NULL;NULL;,不错;挺好;,1;1;
刷毛太稀疏了,,,
刚开始一个星期还可以   之后就有划痕 水挂不干净,NULL;NULL;NULL;,还可以;有划痕;不干净;,1;-1;-1;
是我见过声音最大的，音质最好的手机。其他的手机我觉得声音真的太小声了。 比我原来的1200万像素的手机拍出来的效果感觉要清晰很多。 非常流畅不卡顿,音质;NULL;NULL;NULL;NULL;,最好;清晰;很多;流畅;不卡顿;,1;1;1;1;1;
等了漫长的一个多个星期 等到了的时候发现只用一块瓦楞板裹着连块泡泡纸都没有 粉已经碎的不能再碎 到处都是 感觉不会再爱了 沾了点碎粉 粉很好用 但是碎成这个样子 也是不知道说什么好了,NULL;NULL;NULL;NULL;,碎;碎;很好;好;,-1;-1;1;1;
底脚不稳     一看都不是新的,底脚;NULL;,不稳;不是新;,-1;-1;
质量不是所描述得那么好,描述;,好;,1;
给朋友买的，感觉不错.支持国产,感觉;,不错;,1;
是正品 反应速度快 物流慢了点,NULL;物流;,正品;慢;,1;-1;
给男朋友买的，用着还可以，没有锡纸封口，不满意，包装没有以前的那种塑料泡泡的填充，不满意，成分和另外一个洗面奶相比较只有一个好像叫牛油果的不一样，早知道就不用挑来挑去的，感觉就味道不一样似的,用着;NULL;NULL;,还可以;不满意;不满意;,1;-1;-1;
死机n次也是醉了,,,
包装不是很讲究，自己喝完全没问题,包装;,讲究;,1;
太小了，比超市的贵！！！,NULL;,贵;,-1;
质量差,质量;,差;,-1;
上面写着耳温额温二合一的。都是假的。欺骗消费者,NULL;NULL;,假;欺骗;,-1;-1;
东西好，但是发货速度慢，客服态度不好！,东西;发货速度;客服态度;,好;慢;不好;,1;-1;-1;
花架少一个螺丝。物流快。,物流;,快;,1;
我买的是卫衣三件套，发过来是裙子，怎么会这样，很不满意，不应该这样。,NULL;,不满意;,-1;
不怎么好用，价格便宜,NULL;,不怎么好用;,-1;
正品，质量好，发货速度快。,NULL;质量;发货速度;,正品;好;快;,1;1;1;
给超级差差差评！无良商家！垃圾！京东也有如此坑人的商家，无语！底坐里面就是用沙子倒成的，用了三天就变成这个样子&hellip;&hellip;请大家看图吧！希望可以帮到大家看清这家无良商家的劣质产品！！！,NULL;NULL;商家;京东;NULL;NULL;NULL;商家;,差评;无良;垃圾;坑人;无语;可以;无良;劣质;,-1;-1;-1;-1;-1;1;-1;-1;
"送货很及时,就是煮的时候,好象时间长了些,总的来说还是挺不错的东东,还是赞一个!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",送货;时间;NULL;,及时;长;赞;,1;1;1;
第一个是在东莞国药买的，老爸说用着牙齿没那么碰都不能碰，第二个在京东买的，还可以。,NULL;,还可以;,1;
东西与图片差距很大，发货速度慢，还缺东西导致购买的香水无法使用，出现问题不积极解决问题，还让用户为他们的工作失误买单，总之商家的态度很差，让人很窝火，强烈建议大家不要买他家商品，,差距;发货速度;问题;态度;NULL;,很大;慢;不积极;很差;窝火;,1;-1;-1;-1;-1;
边缘太宽，贴了之后两边都露出一截，手摸着不舒服！容易积累灰尘！！！,NULL;NULL;,不舒服;容易;,-1;1;
自从有BB后，这个沐浴露的味道对我来说就像世界上最恶心的味道，闻到一点就想吐，现在不孕吐了闻着也很不舒服,NULL;NULL;NULL;,恶心;想吐;不舒服;,-1;-1;-1;
完全是骗人的，才用一天就掉了，京东自营发的。假货,NULL;,假货;,-1;
老牌子，制冷快，三口之家很实用。,制冷;NULL;,快;实用;,1;1;
加价购的钢化膜贴上去四周有明显的白边，贴的时候问客服问题客服居然把说明步骤复制过来了。我是瞎子看不到盒子里印的步骤？还好后来也算回答了我的问题。贴完后用起来一般，指纹收集器也就算了，产品介绍说这款不会有白边，结果明显的一比，问客服怎么回事客服回答你没贴好。嗯这个理由真好用，也不枉我仔仔细细的清灰贴了那么久了。,NULL;NULL;用起来;结果;NULL;理由;清灰贴;,明显;还好;一般;明显;好;真好;久;,0;1;0;0;1;1;0;
质量也不错，下次再来光顾。。。。,质量;,不错;,1;
质量一般，洗涤动力一般，脱水动力强劲,质量;动力;动力;,一般;一般;强劲;,0;0;1;
[追评]便宜无好货 同时买了两台空调 一台1.5匹电流声特别大 可这台1匹毛病特别多 风轮是断的而且里面还有很大的水流声（水流声持续不断）风力调到最小档也比那1.5匹的风大 要求换新机还不给换 售后说只能修 可到现在十几天了也没给我修,NULL;NULL;NULL;,便宜;无好;很大;,1;-1;1;
看起来还可以。。。。。。。。。。,看起来;,还可以;,1;
1. 上面的金壳子松动 2. 黑色侧边有裂痕 3. 齿子梳狠点得话刮头发 别人推荐说这梳子用了两年怎么摔都摔不坏， 我就纳闷了，对于这个买来就有裂痕，松动的东西摔一下不得摔烂了，总之这次购买体验不好，亚马逊在搞什么,壳子;NULL;NULL;NULL;NULL;NULL;购买体验;,松动;裂痕;推荐;纳闷;裂痕;松动;不好;,-1;-1;1;-1;-1;-1;-1;
老人机嘛就那样一个键盘锁都没有，这些商家，都不是好东西。,NULL;,不是好东西;,1;
"味道太大了,不能接受!毛脱得不是很干净.",NULL;,干净;,1;
价格要再低一点那就可以说是相当有性价比了,价格;NULL;,低;可以;,-1;1;
与图片不符，东西也没那么多,图片;,不符;,-1;
已经安装好了，画质可以，家里宾馆用，很满意的[追评],安装;画质;NULL;,好;可以;满意;,1;1;1;
挺好的，挺好的，挺好的，,NULL;NULL;NULL;,挺好;挺好;挺好;,1;1;1;
质量不错，就是颜色有一点误差，其他都挺好,质量;NULL;,不错;挺好;,1;1;
很满意！大小合适老婆大人满意！激活半天搞不好还请个百度老师忙活个把小时各种密码设定记哪一小张纸！各种功能使用还不习惯！慢慢摸索中！京东服务就是好！放心！！,NULL;大小;NULL;服务;NULL;,满意;合适;满意;好;放心;,1;1;1;1;1;
假的&hellip;假的&hellip;假的&hellip;,NULL;NULL;NULL;,假;假;假;,-1;-1;-1;
充不满不满不满不满不满不满不满不满不满,NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;,不满;不满;不满;不满;不满;不满;不满;不满;不满;,-1;-1;-1;-1;-1;-1;-1;-1;-1;
不错，挺好，安装很及时，中午到下午就来安装了,NULL;NULL;安装;,不错;挺好;及时;,1;1;1;
做活动的时候买的 很划算～用起来就那样吧，很香。,NULL;用起来;,划算;很香;,1;1;
这么和3ML的试用装不一样？3ML的试用装明显浓一点！！！！！！！！！好怕是假货！！！！！！,NULL;NULL;NULL;,明显;好;假货;,0;1;-1;
送的东西，膜已经碎掉了。,膜;,碎;,-1;
味道跟专卖店不一样，很明显,NULL;,明显;,0;
快递很快，不错,快递;NULL;,很快;不错;,1;1;
挺好的，过段时间再来追评[追评],NULL;,挺好;,1;
很差。太差了。。。。,NULL;NULL;,很差;太差;,-1;-1;
好，不错，非常好，厚实,NULL;NULL;NULL;NULL;,好;不错;好;厚实;,1;1;1;1;
收到的时候后膜就是裂的，说的好好的，给补发一张后膜，十多天都看不见影子，还是帮朋友订的，联系客服还没人理，太耽误事了，不满意的一次购物,后膜;后膜;NULL;,裂;看不见;不满意;,-1;-1;-1;
一直在用亚玛逊的产品，这次包装也太差了，买了一堆，没有一瓶是完整的,包装;NULL;,太差;完整;,-1;1;
一天一个价，2/6/99买的，一个月降到2/4/3/8，而且现在还不给退差价了，机器是刚需，优点就是便宜，其他真的没啥优点了，室内机确实是省到家了，就是一个薄塑料壳子，安装的也一般，抽真空让多抽一会也不愿意,优点;NULL;NULL;,便宜;薄;一般;,1;0;0;
发货很快，包装很好，最主要的是客服服务很好，以诚为本，谢谢卖家。音质不错,发货;包装;客服服务;音质;,很快;很好;很好;不错;,1;1;1;1;
质感很轻薄，有淡淡的酒精味，没有任何保湿感，过敏了。以前用的实体店商品，这个系列应该很补水，而且不过敏的。,质感;NULL;NULL;,淡淡的;过敏;不过敏;,1;-1;1;
还行吧，就是那个披肩有点不合适,NULL;NULL;,还行;不合适;,1;-1;
还行吧，三免一买的还是值,NULL;,还行;,1;
有几个功能用不上，没有说的那么好，声音小 音乐不好听，一分钱一分货，没什么好说的,功能;NULL;音乐;,用不上;好;不好;,-1;1;-1;
机器还行，洗衣服的声音有点大，脱水还可以。,机器;脱水;,还行;还可以;,1;1;
送的东西太差劲了，才用了一次，结果就生锈了，哪还敢用啊,NULL;,敢用;,1;
不干净,NULL;,不干净;,-1;
买了两个月总共用了4次就坏了，售后电话难打通，没有比这次更糟糕的购物啦，感觉不会再爱了，提醒各位购物慎重,NULL;NULL;购物;,坏;糟糕;慎重;,-1;-1;-1;
试用中，良心产品,NULL;,良心;,1;
不实费&hellip;&hellip;&hellip;&hellip;\&hellip;&hellip;,,,
挺好的，快递很快，卖家服务态度非常好，物超所值[追评],NULL;快递;态度;NULL;,挺好;很快;好;物超所值;,1;1;1;1;
公司买的，一直用这个，还不错！,NULL;,不错;,1;
灯是亮着、可惜打开就是噪音！！！！买来好几天刚打开的方式包裹、耍我呢啊！！！！,灯;,可惜;,-1;
挺好的，买过很多台美菱了,NULL;NULL;,挺好;很多;,1;1;
外观  还好吧  价钱便宜  还是变频的  值了,外观;价钱;,还好;便宜;,1;1;
洗完 头皮干干的 但不是干爽 头皮凉凉的,头皮;头皮;,不是干爽;凉凉的;,-1;1;
还行，和手机套餐一起购买的，就这些配件还可以，都比手机强,NULL;配件;手机;,还行;还可以;强;,1;1;1;
给妈妈买的！手机不错的！就是物流特别慢！[追评]没有用一段时间！是物流到的太晚！是有点慢了,手机;物流;NULL;,不错;慢;慢;,1;-1;-1;
产品还行，客服不行，爱理不理的！没发货说发货，叫他自己查下单号，就没音了,产品;客服;NULL;,还行;不行;爱理不理;,1;-1;-1;
一次买了三个，质量差距比较大，有的充电快有的充电慢，有的信号好，有的信号不好。照片拍出来不怎么样。<br/>,充电;充电;信号;信号;NULL;,快;慢;好;不好;不怎么样;,1;-1;1;-1;-1;
给妈妈买的，冰箱已经使用一周了，很好，声音很小，面板可以显示温度，每个室可以单独调节温度，还可以单独关闭冷藏室和解冻室，空间够大，价格便宜，总之很满意 就是物流人员没给拆箱，费了好大劲,NULL;声音;面板;NULL;NULL;空间;总之;NULL;NULL;,很好;很小;可以;可以;还可以;够大;满意;费;好大;,1;1;1;1;1;1;1;-1;-1;
不能调方向。。。。浪费了,NULL;,浪费;,-1;
一点都不好！！！,NULL;,不好;,-1;
一般,NULL;,一般;,0;
可以不给一颗心么,NULL;,可以;,1;
这是我在京东第一次买到这么垃圾的东西,NULL;,垃圾;,-1;
发的信息的激活码格式完全不对 还是百度了仙五激活码的排列才知道五个一格，每一格都要用一个横线断开，而信息上的是四个字母一个 由空格键断开，而且下单后 等了半个多小时才发的信息，简直不能再慢。。。,NULL;,不对;,-1;
下摆太长买，买这个就想点，早知如此就不下单了,下摆;,太长;,-1;
。。。。。可以吧,NULL;,可以;,1;
乐视手机就塌玛一垃圾，难用死，连无线网垃圾，手机网络也垃圾，卡死了，屏幕还不灵，消费者千万不要上当,手机;NULL;无线网;网络;屏幕;,垃圾;难用;垃圾;垃圾;不灵;,-1;-1;-1;-1;-1;
：很好 什么都好,NULL;NULL;,很好;好;,1;1;
适合我这种皮肤粗糙的人使用，牛奶味，很好闻,NULL;皮肤;,适合;粗糙;,1;-1;
看电视不太方便啊......,NULL;,方便;,1;
不怎么样..好像祛痘一般般，保湿效果也不怎么样，好失望的说....,NULL;祛痘;保湿效果;NULL;NULL;,不怎么样;一般般;不怎么样;好;失望;,-1;0;-1;1;-1;
不知道里面是什么材质，图案很漂亮，也很实用,NULL;,实用;,1;
电视挺好的，送货也挺好的，安装也还行,电视;送货;安装;,挺好;挺好;还行;,1;1;1;
收到后打开，瓶嘴已经断裂，可惜当时送货员已经走了。客户说没有办法换。只有将就了。,NULL;NULL;,可惜;将就;,-1;-1;
产品可以 值得下次购买,产品;NULL;,可以;值得;,1;1;
用了20天坏了,NULL;,坏;,-1;
挺好用的！喜欢！不错，赚积分评价的！,NULL;NULL;,喜欢;不错;,1;1;
现货 澳洲代购 dermatix 神奇祛疤痕15克去疤痕膏倍舒痕烫伤凝胶,NULL;,神奇;,1;
手机是给我外婆买的，回来也没注意就给老人了，结果外公打电话来说手机打电话给对方听不见！,NULL;,听不见;,-1;
还可以，比商场实惠点,NULL;商场;,还可以;实惠;,1;1;
没有20000但是还是不错啦  比较便宜,NULL;NULL;,不错;便宜;,1;1;
用了几天才来评价，手机是正品。,NULL;,正品;,1;
东西有点假，给安卓充电1.5次都不到8000，最少也要2次吧，车载还没有使用；周末检测如启动车有问题，真就产品有问题啦。失望。,NULL;NULL;启动;产品;NULL;,假;次;有问题;有问题;失望;,-1;-1;-1;-1;-1;
冷藏柜收到了老板很守信用包装好发货快，样子很好看简洁大气，质量不错哦价钱便宜性价比高，满意,老板;包装;发货;样子;NULL;质量;价钱;性价比;NULL;,守信用;好;快;简洁;大气;不错;便宜;高;满意;,1;1;1;1;1;1;1;1;1;
很满意 不错 给的小配件也好 下次还来购买[追评],NULL;NULL;配件;,满意;不错;也好;,1;1;1;
给老婆买的，价钱便宜，还不错,价钱;NULL;,便宜;不错;,1;1;
不错，速度很快，老妈很满意,NULL;速度;NULL;,不错;很快;满意;,1;1;1;
误导。。。。我以为是好几个车，结果就一个，还放那么多车的图片，算是被骗了,NULL;,被骗;,-1;
数据不准，不知道是为什么！,数据;,不准;,-1;
质量太差，看来便宜货就是不能用,质量;,太差;,-1;
外表还好，不好装，怕把手机刮坏了，不过送的膜不错。,外表;NULL;膜;,还好;不好;不错;,1;-1;1;
本来这个牌子用着一直很好，在亚马逊上也买过。结果这次寄来，首先盒子里是没有刮子。本来也没多在意，买方便面还可能没调味包呢。就拿之前的刮子用吧，结果挤了之后觉得不对劲，没有封口，里面的量也少。就跟被人用了一半又给人用一样。太坑爹了。不要买这家的。,用着;觉得;NULL;,很好;不对劲;坑爹;,1;-1;-1;
电机好声音小，容量大,电机;,好;,1;
味道还不错 很好闻 用起来的效果 还可以,味道;NULL;,不错;还可以;,1;1;
电视可以，安装也方便，是直接在自己县里送过来的，价格要比在县里买便宜一些，直接可以连接WI-FI，很方便,电视;安装;价格;NULL;NULL;,可以;方便;便宜;可以;方便;,1;1;1;1;1;
发货太慢。,,,
拿到理发店，人家说你这是从哪买的，感觉像假的，味道也太刺鼻了，还不如我们小店最便宜的染发剂呢，京东上也会卖假货吗？,感觉;味道;NULL;NULL;,假;刺鼻;便宜;假货;,-1;-1;1;-1;
一般般。不错。,NULL;NULL;,一般般;不错;,0;1;
还是比一般的东西有效果的，就是过年物流太慢了,NULL;,一般;,0;
给婆婆买的，不错?,NULL;,不错;,1;
给妈妈买的，很喜欢！支持京东，一直好评！,NULL;NULL;,喜欢;好评;,1;1;
现在是2014年拜托、感觉非常不值,感觉;,不值;,-1;
用了几天机器一般吧，服务我算是领教了，我想问下你们上门安装的师傅，你们都是带着&ldquo;金口&rdquo;上班的吗；问点基本操作；还说什么自已去看说明书，保修期，还是说明书，我就想知道在你们贵店，说明书是不是万能的用户一切疑问都能在说明书得到解决。在买之前看过用户的评价，都说安装的师傅服务好，可我遇到的这算什么师傅，你的职业道德呢？问题都不带好好回答的；这服务真是烂透了,机器;服务;,一般;好;,0;1;
质量还不错，屏幕很好。,质量;屏幕;,不错;很好;,1;1;
音质不错哦,音质;,不错;,1;
有点贵  东西一般,NULL;东西;,贵;一般;,-1;0;
太次了，根本没法用，手机放进去根本卡不紧，一直晃荡，侧面的音量键和开机键位置也不好，侧面随便按哪都会触发开机键,NULL;NULL;NULL;侧面;,没法用;卡;不好;随便;,-1;-1;-1;-1;
质量不咋地,质量;,不咋地;,-1;
宝贝很好！,宝贝;,很好;,1;
挺好的，拿回来就用了。物流很快第二天就到了。,NULL;物流;,挺好;很快;,1;1;
一如既往的好，上午订货，下午送到。物流超好。,NULL;物流;,好;超好;,1;1;
挺好吃的还行,NULL;,还行;,1;
味道不好，用之后也没有顺滑的感觉，失望了,NULL;NULL;,没有顺滑;失望;,-1;-1;
挺好的，还是挺信赖京东的。不错,NULL;NULL;京东;,挺好;信赖;不错;,1;1;1;
不怎么样感觉装了这个壳以后更不好看，也不好用，早知道还不如买胶套算了,NULL;NULL;,不怎么样;不好用;,-1;-1;
是世界上卡啊卡卡卡,NULL;NULL;NULL;,卡;卡卡;卡;,-1;-1;-1;
很满意，又快又好，,NULL;NULL;,满意;又快又好;,1;1;
现在送手环。。。我买的时候什么都没送  无语。耳机都没有的说阿。唉。习惯好评,NULL;NULL;,无语;好评;,-1;1;
不合理，不管用，摆设，浪费钱,NULL;NULL;NULL;,不合理;不管用;浪费;,-1;-1;-1;
不错，买给老年人的，大小合适，物流不给力慢,NULL;大小;物流;NULL;,不错;合适;不给力;慢;,1;1;-1;-1;
试一下，效果不错，速度很快。,效果;速度;,不错;很快;,1;1;
产品一般般，充电满电机不是太强，剪发还可,产品;电机;,一般般;不是太强;,0;1;
产品还行，快递不敬业，东西放保安室发了信息就走人了，都不通知电话验货,产品;快递;,还行;不敬业;,1;-1;
就是价格稍微有点贵。,价格;,贵;,-1;
用着很舒服，对得起这个价格,用着;NULL;,舒服;对得起;,1;1;
感觉这个质量不是太好啊，冰箱的抽屉塑料的质量真心不敢评价啊，太薄了，和家里面的老款还是有区别的,评价;,太薄;,0;
塑料气味很大很刺鼻！！！,塑料气味;NULL;,很大;刺鼻;,1;-1;
用了很多尼维亚男士，这款有些失望，滋润度，紧肤效果不明显，有些平庸。,NULL;NULL;紧肤效果;NULL;,很多;失望;不明显;平庸;,1;-1;0;0;
我不是敏感肌肤，但每次用完，总会感觉脸上有点刺痛。我平常只抹隔离，所以卸妆效果也不太清楚。买了之后就搁置了。,NULL;NULL;NULL;,不是敏感;刺痛;清楚;,-1;-1;1;
好跟好的意思,NULL;NULL;,好;好;,1;1;
??谢谢快递员帮我搬上三楼     早上下单   下午五点就到了  物流超快     刚拆包装 还没用  期待着,物流;,超快;,1;
是买回老家的据说还可以，最重要的是乡下也能送和上门，发货速度也挺快的，,NULL;发货速度;,还可以;挺快;,1;1;
用了之后头发很干燥，不适合我。,头发;,干燥;,-1;
是鱼儿就不要迷恋天空，是鸟儿就不要迷恋海洋,NULL;NULL;,不要迷恋;不要迷恋;,-1;-1;
用在小黄杨树上，第三天，阶壳虫依然有活动，不知道是不是时间太短，一周后在看吧。物流慢，等的叶子都黄了。,时间;物流;,太短;慢;,-1;-1;
POND'S旁氏清透平衡系列毛孔细致洗颜泥100g,NULL;NULL;毛孔;,清透;平衡;细致;,1;1;1;
目前使用过5次左右，其中有一次死机了，居然死机了，显示时间不对，无法启动。断电后再次使用也不行。再一次断电，恢复。第二个问题是。这个洗衣液出的泡泡，每次洗衣的时候泡泡都要跑到玻璃门下方，直到洗完后也会有许多留在那地方。不知道怎么解决。,时间;使用;,不对;不行;,-1;-1;
太小了 不怎么好,NULL;,不怎么好;,-1;
太垃圾了，给老人设置个按数字键快捷拨号都很费劲！,NULL;NULL;拨号;,垃圾;快捷;费劲;,-1;1;-1;
不知是否是真皮！哦哦喔喔！,NULL;,真皮;,1;
买了两台，一台还挺好的，另一台居然吹倒吹风，正面一点风也没有，也是自己吃亏，买了好久才验货,NULL;NULL;,挺好;吃亏;,1;-1;
免费不错，手感很好,NULL;NULL;手感;,免费;不错;很好;,1;1;1;
与实体不符合，不太满意,NULL;,满意;,1;
大小不合适 这点最基本的都做不到,大小;,不合适;,-1;
"味道好,夏天用也清爽",味道;NULL;,好;清爽;,1;1;
挺好的，客服服务态度不错[追评],NULL;态度;,挺好;不错;,1;1;
送来后打开就看见瓶盖烂的，配送时是有多猛烈呀。。。,瓶盖;NULL;,烂;猛烈;,-1;-1;
帮朋友买的，朋友很喜欢,NULL;,喜欢;,1;
买了一瓶花露水，但是比花露水还难闻,NULL;,难闻;,-1;
还可以吧，就是邮了五天才到，,NULL;,还可以;,1;
很满意的一次购物，京东服务很好，物流迅速，一直用的就是酷开这个品牌，为了孩子的视力选了这款蓝光护眼电视，开机后，觉得确实不错，画面柔和不刺眼睛，孩子很喜欢，有需要要换电视的朋友可以考虑一下，总之一次很棒的购物，赞赞赞！,NULL;服务;物流;觉得;画面;NULL;NULL;NULL;购物;,满意;很好;迅速;不错;柔和;喜欢;可以;很棒;赞;,1;1;1;1;1;1;1;1;1;
特地用了一段时间才来评价的！感觉没有以前的清扬好用，这个去屑效果不太好！长了很多头皮屑！,感觉;去屑效果;NULL;NULL;,好用;不太好;长;很多;,1;-1;1;1;
很满意，客服小白鲸服务很好，安装师傅也很细致。,NULL;服务;安装师傅;,满意;很好;细致;,1;1;1;
假货不解释,NULL;,假货;,-1;
麻蛋，冰箱是坏的。我已经提交了几天售后了，不理人。千万别买他家的，又小，还是坏的！,冰箱;NULL;NULL;,坏;不理;坏;,-1;-1;-1;
很差的一次购物，说好的十米，手机放在左裤兜，耳机戴在右耳，没信号？远远没有他们介绍的那么强大，都是骗人。发货速度慢，物流慢。这是我买的最窝火的一次，很差,NULL;发货速度;物流;NULL;NULL;,很差;慢;慢;窝火;很差;,-1;-1;-1;-1;-1;
